Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
2235,Estimates,Madagascar,,450,MDG,MG,450.0,Country/Area,910,2020.0,27879.131,28225.177,14148.424,14076.752,48.514,100.509,18.799,692.835,24.542,692.091,2.452,28.269,884.817,181.638,31.343,3.918,1.757,27.988,103.9,191.982,107.109,84.873,6.801,65.182,62.891,67.612,54.701,52.733,56.769,13.51,12.669,14.322,5.796,5.345,6.202,32.089,36.337,857.391,43.903,50.293,135.534,155.384,114.935,273.944,312.253,233.826,125.097,146.716,102.922,221.13,256.518,184.575,-0.742,-0.026
2307,Estimates,Malawi,,454,MWI,MW,454.0,Country/Area,910,2020.0,19120.882,19377.061,9418.758,9958.303,204.936,94.582,16.561,514.141,26.527,512.359,2.644,26.216,644.116,136.104,33.233,3.995,1.845,28.002,101.4,129.975,71.84,58.135,6.706,63.717,60.014,67.597,51.778,48.1,55.616,13.524,11.588,15.251,6.828,5.44,7.735,18.451,28.7,627.928,25.14,39.539,131.454,157.08,107.867,343.101,415.459,271.584,176.036,221.417,130.341,310.368,384.223,237.901,-1.775,-0.092
2379,Estimates,Mauritius,1,480,MUS,MU,480.0,Country/Area,910,2020.0,1296.96,1297.828,640.871,656.956,639.324,97.552,36.445,2.219,1.709,1.735,0.134,...,13.462,1.171,10.37,1.414,0.678,28.75,103.5,11.243,6.204,5.039,8.661,74.331,71.078,77.736,60.707,57.556,63.993,17.187,15.671,18.494,8.188,7.571,8.583,0.188,13.986,13.297,0.222,16.501,52.364,67.873,36.179,167.036,215.516,115.447,76.626,104.749,46.929,151.258,198.757,100.889,-0.478,-0.368
2451,Estimates,Mayotte,2,175,MYT,YT,175.0,Country/Area,910,2020.0,300.35,305.587,144.766,160.821,814.897,90.017,16.459,9.722,31.869,10.473,3.428,20.22,10.593,0.846,34.722,4.546,2.215,29.941,102.6,0.871,0.543,0.328,2.853,75.411,72.004,79.308,60.883,57.495,64.761,16.199,14.221,18.509,7.36,6.274,8.41,0.043,4.066,10.556,0.052,4.923,29.574,42.361,19.576,131.46,177.11,86.738,52.227,75.56,32.339,125.797,171.254,81.33,0.746,2.445
2523,Estimates,Mozambique,,508,MOZ,MZ,508.0,Country/Area,910,2020.0,30720.752,31178.239,15293.299,15884.94,39.648,96.275,16.717,903.23,28.97,914.974,2.935,23.617,1152.789,287.061,36.974,4.713,2.102,28.201,102,249.559,135.44,114.118,8.004,61.172,58.111,64.16,51.461,48.519,54.285,11.586,10.575,12.345,4.864,4.46,5.166,61.348,53.393,1104.167,80.086,70.521,152.814,178.081,127.59,344.676,411.857,278.898,153.792,195.259,112.972,286.094,355.094,219.484,11.745,0.377
2595,Estimates,Réunion,2,638,REU,RE,638.0,Country/Area,910,2020.0,953.518,957.822,462.141,495.682,383.129,93.233,33.744,9.025,9.421,8.609,0.899,77.102,14.205,0.905,14.828,2.29,1.116,29.793,103,5.18,2.873,2.307,5.407,82.103,78.832,85.258,67.787,64.549,70.899,21.257,19.22,23.079,10.274,9.072,11.112,0.085,5.995,14.132,0.107,7.493,23.6,33.202,15.036,77.053,107.785,48.115,32.384,48.205,18.507,69.221,99.481,40.842,-0.423,-0.442
2667,Estimates,Rwanda,,646,RWA,RW,646.0,Country/Area,910,2020.0,12987.331,13146.362,6423.145,6723.217,543.014,95.537,18.825,319.642,24.311,318.061,2.42,28.642,398.512,23.521,30.309,3.873,1.785,30.733,102.6,78.87,40.878,37.993,5.998,66.774,64.358,68.996,55.003,52.738,57.041,13.602,12.761,14.204,6.056,5.807,6.202,11.987,30.106,388.064,15.893,40.235,103.959,121.401,86.607,261.394,308.066,218.298,117.718,144.906,92.364,224.512,270.464,182.744,-1.579,-0.12
2739,Estimates,Seychelles,,690,SYC,SC,690.0,Country/Area,910,2020.0,105.006,105.53,55.587,49.943,230.919,111.301,32.237,0.902,8.562,1.048,0.993,69.803,1.668,0.181,15.823,2.377,1.139,27.722,103.6,0.766,0.45,0.315,7.261,73.532,69.652,78.05,59.761,55.928,64.224,16.327,13.661,18.88,7.969,6.094,8.92,0.02,11.867,1.651,0.023,13.95,57.592,69.43,42.962,170.406,218.787,113.301,79.27,102.745,50.296,156.129,203.992,99.624,0.146,1.385
2811,Estimates,Somalia,,706,SOM,SO,706.0,Country/Area,910,2020.0,16272.861,16537.016,8290.471,8246.544,26.361,100.533,15.149,539.69,32.617,528.309,3.195,21.695,728.149,105.408,44.007,6.417,2.571,29.385,104.5,188.459,101.111,87.349,11.39,55.967,53.967,58.051,49.869,47.994,51.799,11.816,11.103,12.467,5.08,4.693,5.392,52.853,72.946,688.43,81.547,115,241.126,260.248,221.281,414.766,452.731,375.744,191.005,215.513,165.948,316.96,356.462,276.984,-11.383,-0.688
2883,Estimates,South Sudan,,728,SSD,SS,728.0,Country/Area,910,2020.0,10545.441,10606.227,5248.072,5358.155,18.8,97.945,15.758,195.953,18.407,121.572,1.146,60.484,310.48,61.724,29.166,4.543,1.799,29.724,103.5,114.527,58.459,56.068,10.759,55.48,53.906,56.998,48.897,47.332,50.376,11.96,11.341,12.427,5.178,4.786,5.399,19.715,63.799,295.147,31.754,99.09,257.222,271.872,242.35,430.388,460.772,400.977,217.625,238.394,197.387,338.268,370.95,307.034,-74.415,-6.99
2955,Estimates,Uganda,,800,UGA,UG,800.0,Country/Area,910,2020.0,43685.863,44404.611,21973.09,22431.52,222.238,97.956,15.726,1394.031,31.4,1437.496,3.238,21.407,1653.818,291.828,37.252,4.693,2.134,28.794,102.8,259.787,137.959,121.828,5.852,62.851,60.715,64.898,51.138,49.095,53.068,11.309,10.528,11.902,4.57,4.256,4.765,52.132,31.614,1608.556,70.004,43.1,129.387,144.174,114.618,326.555,373.661,281.281,160.669,186.327,135.506,290.048,337.48,244.897,43.465,0.979
